antecedents,consequents,support,confidence,lift
frozenset({'Description-TO PROPERTY'}),frozenset({'Primary Type-CRIMINAL DAMAGE'}),0.06,1.0,8.1
"frozenset({'Arrest-False', 'Description-TO PROPERTY'})",frozenset({'Primary Type-CRIMINAL DAMAGE'}),0.06,1.0,8.1
frozenset({'Description-$500 AND UNDER'}),frozenset({'Primary Type-THEFT'}),0.08,1.0,5.28
frozenset({'Description-OVER $500'}),frozenset({'Primary Type-THEFT'}),0.06,1.0,5.28
"frozenset({'Description-$500 AND UNDER', 'Arrest-False'})",frozenset({'Primary Type-THEFT'}),0.07,1.0,5.28
"frozenset({'Arrest-False', 'Description-OVER $500'})",frozenset({'Primary Type-THEFT'}),0.06,1.0,5.28
"frozenset({'Description-$500 AND UNDER', 'Domestic-False'})",frozenset({'Primary Type-THEFT'}),0.07,1.0,5.28
"frozenset({'Domestic-False', 'Description-OVER $500'})",frozenset({'Primary Type-THEFT'}),0.05,1.0,5.28
"frozenset({'Description-$500 AND UNDER', 'Arrest-False', 'Domestic-False'})",frozenset({'Primary Type-THEFT'}),0.07,1.0,5.28
"frozenset({'Arrest-False', 'Domestic-False', 'Description-OVER $500'})",frozenset({'Primary Type-THEFT'}),0.05,1.0,5.28
frozenset({'Description-DOMESTIC BATTERY SIMPLE'}),frozenset({'Primary Type-BATTERY'}),0.1,1.0,4.98
"frozenset({'Arrest-False', 'Description-DOMESTIC BATTERY SIMPLE'})",frozenset({'Primary Type-BATTERY'}),0.08,1.0,4.98
"frozenset({'Description-DOMESTIC BATTERY SIMPLE', 'Domestic-True'})",frozenset({'Primary Type-BATTERY'}),0.1,1.0,4.98
"frozenset({'Description-DOMESTIC BATTERY SIMPLE', 'Arrest-False', 'Domestic-True'})",frozenset({'Primary Type-BATTERY'}),0.08,1.0,4.98
frozenset({'Description-DOMESTIC BATTERY SIMPLE'}),"frozenset({'Primary Type-BATTERY', 'Domestic-True'})",0.1,0.99,8.62
frozenset({'Description-DOMESTIC BATTERY SIMPLE'}),frozenset({'Domestic-True'}),0.1,0.99,4.44
"frozenset({'Primary Type-BATTERY', 'Description-DOMESTIC BATTERY SIMPLE'})",frozenset({'Domestic-True'}),0.1,0.99,4.44
"frozenset({'Arrest-False', 'Description-DOMESTIC BATTERY SIMPLE'})","frozenset({'Primary Type-BATTERY', 'Domestic-True'})",0.08,0.99,8.61
"frozenset({'Arrest-False', 'Description-DOMESTIC BATTERY SIMPLE'})",frozenset({'Domestic-True'}),0.08,0.99,4.43
